,close,high,low,trade_count,open,volume,vwap,timestamp,unixTime
97,10.66,10.66,9.53,90392,9.68,26147096,10.16664,2017-10-30 04:00:00+00:00,1509364800.0
98,11.26,11.52,10.72,103563,10.75,30119997,11.266231,2017-11-06 05:00:00+00:00,1509973200.0
99,10.16,11.21,9.96,77227,11.19,17429642,10.43079,2017-11-13 05:00:00+00:00,1510578000.0
100,9.77,10.103,9.581,55073,10.1,12910206,9.753921,2017-11-20 05:00:00+00:00,1511182800.0
101,10.12,10.155,9.09,82222,9.65,20852953,9.529837,2017-11-27 05:00:00+00:00,1511787600.0
102,9.44,10.18,9.22,53306,10.04,12712518,9.615675,2017-12-04 05:00:00+00:00,1512392400.0
103,8.44,9.61,8.43,94135,9.47,28798172,9.001333,2017-12-11 05:00:00+00:00,1512997200.0
104,8.78,8.88,8.41,59391,8.43,15131001,8.65556,2017-12-18 05:00:00+00:00,1513602000.0
105,9.13,9.2999,8.7,45634,8.78,13721859,9.029685,2017-12-25 05:00:00+00:00,1514206800.0
106,10.12,10.44,9.2,67179,9.21,18283375,10.114292,2018-01-01 05:00:00+00:00,1514811600.0
107,10.91,11.11,9.85,87409,10.1,20716456,10.541845,2018-01-08 05:00:00+00:00,1515416400.0
108,10.24,10.9,10.15,52529,10.76,10987266,10.519064,2018-01-15 05:00:00+00:00,1516021200.0
109,10.4,10.88,10.2,72113,10.26,16951593,10.524562,2018-01-22 05:00:00+00:00,1516626000.0
110,8.91,10.32,8.87,72321,10.3,16696172,9.537834,2018-01-29 05:00:00+00:00,1517230800.0
111,7.45,8.995,7.15,132929,8.74,32885620,8.086691,2018-02-05 05:00:00+00:00,1517835600.0
112,7.52,8.25,7.3,137415,7.6193,34461382,7.618149,2018-02-12 05:00:00+00:00,1518440400.0
113,7.6,7.63,7.32,66312,7.55,16813432,7.458247,2018-02-19 05:00:00+00:00,1519045200.0
114,7.54,7.8,7.09,80675,7.62,21373047,7.467417,2018-02-26 05:00:00+00:00,1519650000.0
115,8.17,8.2023,7.37,97259,7.41,23167951,7.964502,2018-03-05 05:00:00+00:00,1520254800.0
116,8.44,8.6,8.0,57755,8.14,14588536,8.212428,2018-03-12 04:00:00+00:00,1520856000.0
117,8.14,8.995,8.08,84520,8.43,22351098,8.49223,2018-03-19 04:00:00+00:00,1521460800.0
118,8.54,8.54,8.0,59980,8.2,14868585,8.241442,2018-03-26 04:00:00+00:00,1522065600.0
119,9.36,9.75,8.17,124591,8.44,32128115,9.058416,2018-04-02 04:00:00+00:00,1522670400.0
120,10.1,10.335,9.18,105971,9.48,26480797,9.892106,2018-04-09 04:00:00+00:00,1523275200.0
121,9.63,10.54,9.56,106586,10.1,26257383,10.014934,2018-04-16 04:00:00+00:00,1523880000.0
122,10.02,10.14,8.9,117811,9.43,26753049,9.748859,2018-04-23 04:00:00+00:00,1524484800.0
123,10.13,10.35,9.87,71589,9.96,16913392,10.131093,2018-04-30 04:00:00+00:00,1525089600.0
124,10.94,11.265,10.02,123826,10.24,30748303,10.806973,2018-05-07 04:00:00+00:00,1525694400.0
125,11.02,11.36,10.72,82261,11.03,18870029,11.032298,2018-05-14 04:00:00+00:00,1526299200.0
126,10.35,11.465,10.12,84168,11.0879,19642934,10.913712,2018-05-21 04:00:00+00:00,1526904000.0
127,10.4,10.705,10.07,71055,10.11,16949306,10.48967,2018-05-28 04:00:00+00:00,1527508800.0
128,10.04,10.51,9.47,112922,10.44,25864953,9.928263,2018-06-04 04:00:00+00:00,1528113600.0
129,9.22,10.04,9.2,55262,9.99,12159267,9.685998,2018-06-11 04:00:00+00:00,1528718400.0
130,9.91,9.945,9.11,78154,9.19,16690025,9.515526,2018-06-18 04:00:00+00:00,1529323200.0
131,10.38,10.47,9.675,85488,9.92,19280660,10.091804,2018-06-25 04:00:00+00:00,1529928000.0
132,10.82,10.87,10.1,44809,10.3,8369176,10.524124,2018-07-02 04:00:00+00:00,1530532800.0
133,10.57,11.29,10.53,62391,10.89,13571177,10.835256,2018-07-09 04:00:00+00:00,1531137600.0
134,10.15,10.52,10.12,61732,10.39,13443489,10.323578,2018-07-16 04:00:00+00:00,1531742400.0
135,9.93,10.62,9.85,67060,10.23,14837548,10.19798,2018-07-23 04:00:00+00:00,1532347200.0
136,10.14,10.1775,9.85,59114,10.13,15076328,10.017917,2018-07-30 04:00:00+00:00,1532952000.0
