month and week,max loss,avg loss,min loss,std loss,min gain,avg gain,max gain,std gain,month,week,num years,avg gain/loss ratio,min gain/loss ratio,max gain/loss ratio
8-3,-12.606837606837603,-6.314924894568457,-3.8978494623655915,2.729493261852458,2.7849740932642586,10.366795898669437,16.487213997308217,3.9440816892711723,8.0,3.0,8,4.05187100410098,-9.821863513573344,12.589364534942625
8-4,-18.47475832438239,-7.063480134771954,-0.49875311720699406,5.8321171815332375,0.9667024704618674,8.800169304054277,15.412186379928317,5.549695917545737,8.0,4.0,8,1.7366891692823234,-17.50805585392052,14.913433262721323
9-1,-13.868613138686115,-6.46739119192662,-1.0976948408342442,4.795295510012314,0.2730375426621223,9.939153137864196,14.301801801801794,5.1158476085947235,9.0,1.0,8,3.471761945937576,-13.595575596023993,13.20410696096755
9-2,-23.257281553398048,-9.529810905262702,2.4064171122994615,8.00445862941362,4.255319148936163,10.427406216275523,24.391592920353986,7.703529263498242,9.0,2.0,8,0.8975953110128216,-19.001962404461885,26.798010032653448
9-3,-28.40970873786407,-10.054089027118202,0.626959247648908,9.485796861541486,1.405622489959827,10.898364704489353,22.048066875653078,7.024509975833202,9.0,3.0,8,0.8442756773711508,-27.00408624790424,22.675026123301986
9-4,-15.764828303850145,-7.272411628572665,2.3747560182173193,7.138517896353466,0.3992015968063965,13.477430278416772,31.680546519193232,10.593822646186496,9.0,4.0,8,6.205018649844107,-15.365626707043749,34.055302537410554
10-1,-20.229930624380575,-8.823837088129519,-1.6107382550335587,6.983464660328342,0.49554013875124586,9.910691720943735,15.780141843971625,5.263384849030895,10.0,1.0,8,1.086854632814216,-19.73439048562933,14.169403588938067
10-2,-19.121004566210054,-8.285942604724575,-2.0576131687242727,6.7299681239335,2.796803652968028,7.104116018737773,15.892641737032559,3.8518013482917324,10.0,2.0,8,-1.1818265859868013,-16.324200913242027,13.835028568308285
10-3,-18.059299191374663,-8.232753571864432,-2.1704605611434626,4.94712190288105,0.24201355275894074,6.2180856297403215,22.15457914240338,6.665574332643575,10.0,3.0,8,-2.0146679421241105,-17.817285638615722,19.98411858125992
10-4,-17.379679144385037,-7.63459199593258,-1.425709515859765,5.601752243974722,-0.334224598930486,10.835574723603216,18.292682926829272,6.587980899280095,10.0,4.0,8,3.2009827276706355,-17.713903743315523,16.866973410969507
11-1,-14.429530201342272,-6.831374254987761,7.262569832402228,7.476935472857455,4.3516873889875685,11.137455629154188,34.07821229050278,9.637571693247837,11.0,1.0,8,4.306081374166427,-10.077842812354703,41.34078212290501
11-2,-24.167694204685574,-10.76713184975196,-1.1682242990654164,7.798567496256832,1.407480314960619,6.866359456612709,21.144859813084118,6.7292863736876996,11.0,2.0,8,-3.9007723931392517,-22.760213889724955,19.976635514018703
11-3,-20.856741573033712,-8.658933045523732,-2.866242038216556,5.613792749728643,4.347826086956528,9.692903144459914,24.59447983014863,6.5513681034160784,11.0,3.0,8,1.033970098936182,-16.508915486077186,21.728237791932074
11-4,-16.339017051153473,-9.481497421003965,1.1517615176151756,5.565783137694684,0.9881422924901226,10.170787947572823,20.79945799457996,6.4939578734713175,11.0,4.0,8,0.6892905265688576,-15.35087475866335,21.951219512195134
12-1,-18.53813559322034,-11.36296387483397,-1.506996770721212,6.1240170400434675,3.9708265802269063,8.42896385986115,15.94202898550725,4.602829724798509,12.0,1.0,8,-2.9340000149728187,-14.567309012993434,14.435032214786037
12-2,-20.925684485006514,-10.967465445143576,-1.7063081695967004,6.8979035119552865,1.6863406408094375,6.977166451190357,10.903954802259886,2.9511032299592563,12.0,2.0,8,-3.9902989939532194,-19.239343844197077,9.197646632663185
12-3,-24.886877828054292,-5.51724240598464,-1.0,7.4827232762328455,-1.0,7.71382294065405,16.10158201498751,5.6872561743469685,12.0,3.0,8,2.19658053466941,-25.886877828054292,15.10158201498751
12-4,-10.407006697578565,-3.691492027788769,-1.0941949616648396,3.204273979178331,3.40030911901082,13.040038268185416,22.78020378457059,8.233377984018828,12.0,4.0,8,9.348546240396647,-7.006697578567745,21.686008822905748
