,close,high,low,trade_count,open,volume,vwap,timestamp,unixTime,week,month,year,month and week,quarter,max loss,max gain
46,14.8,15.4,14.7,30729,14.88,4804292,15.043173,2016-11-21 05:00:00+00:00,1479733200.0,3,11,2016,11-3,4,-9.86486486486487,9.527027027027026
47,15.62,16.11,13.94,73978,14.8,11440519,15.202382,2016-11-28 05:00:00+00:00,1480338000.0,4,11,2016,11-4,4,-5.505761843790009,12.612035851472475
48,15.68,15.91,15.25,55020,15.78,8329438,15.593769,2016-12-05 05:00:00+00:00,1480942800.0,1,12,2016,12-1,4,-4.783163265306122,10.012755102040819
49,15.88,16.82,15.16,82630,16.25,14692175,15.936731,2016-12-12 05:00:00+00:00,1481547600.0,2,12,2016,12-2,4,-10.768261964735522,5.163727959697734
50,15.13,15.98,15.11,37547,15.84,5834418,15.599985,2016-12-19 05:00:00+00:00,1482152400.0,3,12,2016,12-3,4,-6.741573033707862,1.1896893588896214
51,15.13,15.29,14.96,31680,15.13,5094532,15.108847,2016-12-26 05:00:00+00:00,1482757200.0,4,12,2016,12-4,4,-1.123595505617977,3.8334434897554415
52,15.3,15.54,15.12,37654,15.33,5786153,15.278165,2017-01-02 05:00:00+00:00,1483362000.0,1,1,2017,1-1,1,-6.0784313725490176,0.5882352941176577
53,14.75,15.21,14.61,56177,15.14,10237297,14.86478,2017-01-09 05:00:00+00:00,1483966800.0,2,1,2017,1-2,1,-5.423728813559327,3.389830508474576
54,14.61,15.11,14.41,46184,14.96,8848694,14.728781,2017-01-16 05:00:00+00:00,1484571600.0,3,1,2017,1-3,1,-8.829568788501021,0.684462696783023
55,13.83,14.51,13.82,48474,14.18,9744643,14.17368,2017-01-23 05:00:00+00:00,1485176400.0,4,1,2017,1-4,1,-7.9898770788141755,0.07230657989876925
56,13.74,13.83,13.405,49753,13.74,9007144,13.630933,2017-01-30 05:00:00+00:00,1485781200.0,5,1,2017,1-5,1,-5.895196506550222,2.219796215429414
57,13.56,13.71,13.02,54528,13.71,10174010,13.322607,2017-02-06 05:00:00+00:00,1486386000.0,1,2,2017,2-1,1,-2.8761061946902697,10.619469026548682
58,13.66,14.46,13.32,57703,13.5,11005777,13.773001,2017-02-13 05:00:00+00:00,1486990800.0,2,2,2017,2-2,1,-11.346998535871162,5.710102489019029
59,12.94,14.1,12.91,40354,13.85,7853307,13.490156,2017-02-20 05:00:00+00:00,1487595600.0,3,2,2017,2-3,1,-12.055641421947454,2.086553323029363
60,12.77,13.18,12.54,49792,13.0,9969460,12.796555,2017-02-27 05:00:00+00:00,1488200400.0,4,2,2017,2-4,1,-11.15896632732967,2.8974158183242054
61,12.08,12.91,11.755,49560,12.72,9466784,12.261561,2017-03-06 05:00:00+00:00,1488805200.0,1,3,2017,3-1,1,-10.347682119205299,7.822847682119193
62,12.36,12.7,11.66,59652,12.01,11767430,12.202474,2017-03-13 04:00:00+00:00,1489406400.0,2,3,2017,3-2,1,-3.9644012944983693,9.466019417475728
63,12.61,12.83,12.21,56887,12.28,12093990,12.534594,2017-03-20 04:00:00+00:00,1490011200.0,3,3,2017,3-3,1,-13.600317208564631,8.802537668517047
64,11.3,13.32,11.115,197843,12.42,67094828,11.72402,2017-03-27 04:00:00+00:00,1490616000.0,4,3,2017,3-4,1,-21.238938053097346,2.964601769911496
65,10.96,11.45,10.92,113427,11.35,31141764,11.204014,2017-04-03 04:00:00+00:00,1491220800.0,1,4,2017,4-1,2,-7.3905109489050975,3.3759124087591164
66,10.7,11.29,10.64,74161,11.04,20218684,10.956037,2017-04-10 04:00:00+00:00,1491825600.0,2,4,2017,4-2,2,-10.37383177570093,2.897196261682231
67,10.49,10.95,10.18,73252,10.76,19173039,10.558744,2017-04-17 04:00:00+00:00,1492430400.0,3,4,2017,4-3,2,-11.105815061963767,4.480457578646336
68,9.98,10.65,9.785,93727,10.61,25703284,10.206227,2017-04-24 04:00:00+00:00,1493035200.0,4,4,2017,4-4,2,-14.729458917835677,1.8537074148296644
