month and week,max loss,avg loss,min loss,std loss,min gain,avg gain,max gain,std gain
6-2,-34.49781659388647,-16.10368098486895,-1.2987012987012918,11.518926556719546,2.882882882882886,8.36590616628806,13.864628820960695,3.8015015670581414
6-3,-17.68115942028985,-9.936190105368963,-2.724520686175576,5.636128209918168,3.5934291581108795,9.789761062116863,16.197557089750404,4.490478047065759
6-4,-23.218997361477566,-9.095899186584719,-3.415783274440508,6.466250729199681,1.662269129287587,7.545673695852566,11.512524084778404,3.544030354191901
7-1,-18.257491675915645,-9.337754574568432,-1.3568129330254008,7.613076022392861,5.20833333333335,8.963333856242187,11.538461538461533,2.0362509998458
7-2,-21.40914709517925,-8.368684388492685,-1.5027322404371628,6.083780882822432,-0.09460737937558927,8.46455245902342,21.41255605381166,7.700543164268701
7-3,-13.173652694610782,-6.325244475386892,-0.11481056257175414,3.903645293667004,3.0014124293785236,11.795180246456397,20.805369127516776,6.2704650433235685
7-4,-20.073375262054498,-10.466342372188866,-2.858655373213336,5.245866362316147,3.2980866062437117,9.691228870323455,14.573991031390143,4.00767514784057
8-1,-16.414904330312194,-9.289474706525935,-2.9716655148583255,5.401951819781506,1.7478152309613053,9.294295068672337,18.5277207392197,6.12880287633252
8-2,-15.206812652068113,-9.098308780939773,-1.0847457627118653,4.450668027798633,2.4666666666666734,7.170565568169666,12.152034261241967,3.567390477963814
8-3,-12.606837606837603,-6.314924894568457,-3.8978494623655915,2.729493261852458,2.7849740932642586,10.366795898669437,16.487213997308217,3.9440816892711723
8-4,-18.47475832438239,-7.063480134771954,-0.49875311720699406,5.8321171815332375,0.9667024704618674,8.800169304054277,15.412186379928317,5.549695917545737
9-1,-13.868613138686115,-6.46739119192662,-1.0976948408342442,4.795295510012314,0.2730375426621223,9.939153137864196,14.301801801801794,5.1158476085947235
9-2,-23.257281553398048,-9.529810905262702,2.4064171122994615,8.00445862941362,4.255319148936163,10.427406216275523,24.391592920353986,7.703529263498242
9-3,-28.40970873786407,-10.054089027118202,0.626959247648908,9.485796861541486,1.405622489959827,10.898364704489353,22.048066875653078,7.024509975833202
9-4,-15.764828303850145,-7.272411628572665,2.3747560182173193,7.138517896353466,0.3992015968063965,13.477430278416772,31.680546519193232,10.593822646186496
10-1,-20.229930624380575,-8.823837088129519,-1.6107382550335587,6.983464660328342,0.49554013875124586,9.910691720943735,15.780141843971625,5.263384849030895
10-2,-19.121004566210054,-8.285942604724575,-2.0576131687242727,6.7299681239335,2.796803652968028,7.104116018737773,15.892641737032559,3.8518013482917324
10-3,-18.059299191374663,-8.232753571864432,-2.1704605611434626,4.94712190288105,0.24201355275894074,6.2180856297403215,22.15457914240338,6.665574332643575
10-4,-17.379679144385037,-7.63459199593258,-1.425709515859765,5.601752243974722,-0.334224598930486,10.835574723603216,18.292682926829272,6.587980899280095
11-1,-14.429530201342272,-6.831374254987761,7.262569832402228,7.476935472857455,4.3516873889875685,11.137455629154188,34.07821229050278,9.637571693247837
11-2,-24.167694204685574,-10.76713184975196,-1.1682242990654164,7.798567496256832,1.407480314960619,6.866359456612709,21.144859813084118,6.7292863736876996
11-3,-20.856741573033712,-8.658933045523732,-2.866242038216556,5.613792749728643,4.347826086956528,9.692903144459914,24.59447983014863,6.5513681034160784
11-4,-16.339017051153473,-9.481497421003965,1.1517615176151756,5.565783137694684,0.9881422924901226,10.170787947572823,20.79945799457996,6.4939578734713175
12-1,-18.53813559322034,-11.36296387483397,-1.506996770721212,6.1240170400434675,3.9708265802269063,8.42896385986115,15.94202898550725,4.602829724798509
12-2,-20.925684485006514,-10.77708082975896,-1.0,7.179536490172553,-1.0,5.644474143498048,10.903954802259886,3.8393424496786333
12-3,-24.886877828054292,-6.281901272108874,-1.1156186612576189,8.393776835058098,1.1896893588896214,9.391790530969542,16.10158201498751,5.065020623469068
12-4,-10.407006697578565,-3.691492027788769,-1.0941949616648396,3.204273979178331,3.40030911901082,13.040038268185416,22.78020378457059,8.233377984018828
